file_path,table_index,row_count,col_count,categories,high_risk,near_heading,other_block_tags,content_preview
pub/bwplugin-cawscs/6.1.1/doc/html/installation/installation-modes.htm,1,4,3,SIMPLE,,Installation Modes and Procedures,,"Installation Mode Description Reference GUI In GUI mode, the installer contains panels where you can select a product, p"
pub/bwplugin-cawscs/6.1.1/doc/html/installation/installation-troubleshooting.htm,1,4,2,SIMPLE,,Troubleshooting Installation,,Platform Location Microsoft Windows C:\Users\ username \.TIBCO\ install_timestamp Linux user_home_dir /.TIBCO/ install_t
pub/bwplugin-cawscs/6.1.1/doc/html/installation/plugin-adding-to-bwce.htm,1,2,2,LIST_IN_CELL,,Adding the Plug-in to TIBCO BusinessWorks™ Container Edition,,Platform Reference Docker or Docker-based platforms Application Development for Docker section: Creating the TIBCO Busin
pub/bwplugin-cawscs/6.1.1/doc/html/installation/plugin-installation-components.htm,1,3,2,MULTI_PARAGRAPH|NOTE_OR_ADMONITION,HIGH_RISK — confirmed silent content loss,Installation Components and Profiles,,Component Description TIBCO ActiveMatrix BusinessWorks™ Plug-in Component for AWS Common Services Design This component 
pub/bwplugin-cawscs/6.1.1/doc/html/installation/plugin-installation-environment.htm,1,4,2,SIMPLE,,Installation Environment,,Property Description Directory Identifies the directory where the product is installed. TIBCO_HOME It is the top-level i
pub/bwplugin-cawscs/6.1.1/doc/html/installation/plugin-installation-requirements.htm,1,4,2,SIMPLE,,Installation Account and Permission Requirements,,Platform Account Privileges Microsoft Windows Only users with administrator privileges can install the plug-in. If you d
pub/bwplugin-cawscs/6.1.1/doc/html/installation/plugin-installation-requirements.htm,2,3,2,MULTI_PARAGRAPH,,Software Requirements,,Software Description TIBCO ActiveMatrix BusinessWorks™ Required. ActiveMatrix BusinessWorks supports your integration pr
pub/bwplugin-cawscs/6.1.1/doc/html/installation/plugin-installation-update-sites.htm,1,4,3,SIMPLE,,Installing by Using an Update Site,,Installation method Description Reference Public update site You can install the plug-in from within TIBCO Business Stud
pub/bwplugin-cawscs/6.1.1/doc/html/installation/plugin-installing-local-update-site.htm,1,3,2,SIMPLE,,Installing the Plug-in by Using a Local Update Site or Directory,,Platform Step Microsoft Windows Click Start > All Programs > TIBCO > TIBCO_HOME > TIBCO Business Studio <version> > Stud
pub/bwplugin-cawscs/6.1.1/doc/html/installation/plugin-installing-plugins-manager.htm,1,3,2,SIMPLE,,Installing the Plug-in by Using BusinessWorks Plug-ins Manager,,Platform Step Microsoft Windows Click Start > All Programs > TIBCO > TIBCO_HOME > TIBCO Business Studio <version> > Stud
pub/bwplugin-cawscs/6.1.1/doc/html/installation/plugin-installing-public-update-site.htm,1,3,2,SIMPLE,,Installing the Plug-in by Using the Public Update Site,,Platform Step Microsoft Windows Click Start > All Programs > TIBCO > TIBCO_HOME > TIBCO Business Studio <version> > Stud
pub/bwplugin-cawscs/6.1.1/doc/html/installation/plugin-installing-silent-mode.htm,1,1,3,FAKE_LIST,,,,
pub/bwplugin-cawscs/6.1.1/doc/html/installation/plugin-installing-silent-mode.htm,2,1,3,FAKE_LIST,,,,
pub/bwplugin-cawscs/6.1.1/doc/html/installation/plugin-uninstallation-update-sites.htm,1,3,3,SIMPLE,,Uninstalling by Using an Update Site,,Uninstallation method Description Reference Uninstall using the public update site You can uninstall the plug-in from wi
pub/bwplugin-cawscs/6.1.1/doc/html/installation/plugin-uninstalling-gui-mode.htm,1,3,2,SIMPLE,,Uninstalling in GUI Mode,,Option Description Custom Uninstall You can select the products to be removed. Typical Uninstall You cannot select the p
