product_name,version,page_count,est_images,doc_names,last_modified,last_modified_year,current_or_legacy,l3_url
Spotfire® Analyst,12.0.10,12191,9752,,2024-06-11,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-12-0-10.xml
Spotfire® Analyst,12.0.11,12191,9752,,2024-09-20,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-12-0-11.xml
Spotfire® Analyst,12.0.5,12193,9754,,2023-09-29,2023,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-12-0-5.xml
Spotfire® Analyst,12.0.6,12191,9752,,2023-10-09,2023,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-12-0-6.xml
Spotfire® Analyst,12.0.7,12191,9752,,2023-10-24,2023,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-12-0-7.xml
Spotfire® Analyst,12.0.8,12191,9752,,2023-12-14,2023,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-12-0-8.xml
Spotfire® Analyst,12.0.9,12191,9752,,2024-03-04,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-12-0-9.xml
Spotfire® Analyst,14.0.0,16717,13373,,2023-11-06,2023,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-14-0-0.xml
Spotfire® Analyst,14.0.1,16706,13364,,2023-12-14,2023,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-14-0-1.xml
Spotfire® Analyst,14.0.2,16938,13550,,2024-03-05,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-14-0-2.xml
Spotfire® Analyst,14.0.3,16714,13371,,2024-06-13,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-14-0-3.xml
Spotfire® Analyst,14.0.4,17834,14267,,2024-09-20,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-14-0-4.xml
Spotfire® Analyst,14.0.5,16706,13364,,2024-12-02,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-14-0-5.xml
Spotfire® Analyst,14.0.6,16706,13364,,2025-04-04,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-14-0-6.xml
Spotfire® Analyst,14.4.0,19503,15602,,2024-06-13,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-14-4-0.xml
Spotfire® Analyst,14.4.1,17847,14277,,2024-11-29,2024,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-14-4-1.xml
Spotfire® Analyst,14.4.2,17847,14277,,2025-04-04,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-analyst-14-4-2.xml
Spotfire® Application,14.0.10,16704,13363,,2026-04-13,2026,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-application-14-0-10.xml
Spotfire® Application,14.0.7,16707,13365,,2025-06-12,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-application-14-0-7.xml
Spotfire® Application,14.0.8,16704,13363,,2025-10-17,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-application-14-0-8.xml
Spotfire® Application,14.0.9,16704,13363,,2025-12-16,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-application-14-0-9.xml
Spotfire® Application,14.5.0,22922,18337,"Legal and Third-Party
               	 Notices",2025-06-12,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-application-14-5-0.xml
Spotfire® Application,14.6.0,21708,17366,"Legal and Third-Party
               	 Notices",2025-10-21,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-application-14-6-0.xml
Spotfire® Application,14.6.1,21590,17272,"Legal and Third-Party
               	 Notices",2025-12-16,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-application-14-6-1.xml
Spotfire® Application,14.6.2,21558,17246,"Legal and Third-Party
               	 Notices",2026-04-13,2026,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-application-14-6-2.xml
Spotfire® Application,14.7.0,21638,17310,"Legal and Third-Party
               	 Notices",2025-12-16,2025,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-application-14-7-0.xml
Spotfire® Application,14.8.0,21781,17424,"Legal and Third-Party
               	 Notices",2026-04-13,2026,Current,https://docs.tibco.com/ftp_portal/coveo/spotfire-application-14-8-0.xml
TIBCO EBX® Add-ons,4.5.10,4578,3662,,2022-04-08,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-4-5-10.xml
TIBCO EBX® Add-ons,4.5.11,4578,3662,,2022-05-18,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-4-5-11.xml
TIBCO EBX® Add-ons,4.5.12,4578,3662,,2022-08-05,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-4-5-12.xml
TIBCO EBX® Add-ons,4.5.13,4578,3662,,2022-08-31,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-4-5-13.xml
TIBCO EBX® Add-ons,4.5.14,4578,3662,,2022-10-24,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-4-5-14.xml
TIBCO EBX® Add-ons,4.5.15,4578,3662,,2022-12-09,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-4-5-15.xml
TIBCO EBX® Add-ons,4.5.16,4578,3662,,2023-01-17,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-4-5-16.xml
TIBCO EBX® Add-ons,4.5.17,4578,3662,,2023-05-22,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-4-5-17.xml
TIBCO EBX® Add-ons,4.5.18,4578,3662,,2023-07-17,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-4-5-18.xml
TIBCO EBX® Add-ons,4.5.19,4578,3662,,2023-09-11,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-4-5-19.xml
TIBCO EBX® Add-ons,4.5.20,4578,3662,,2023-12-07,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-4-5-20.xml
