product_slug,product_name,product_page_url,version_count,bu,active_count,active_version_urls,archive_count,archive_zip_urls
adapter-code-for-tibco-api-exchange-and-joomla,Adapter Code for TIBCO® API Exchange and Joomla!,https://docs.tibco.com/products/adapter-code-for-tibco-api-exchange-and-joomla,2,,2,https://docs.tibco.com/products/adapter-code-for-tibco-api-exchange-and-joomla-2-3-4 | https://docs.tibco.com/products/adapter-code-for-tibco-api-exchange-and-joomla-2-3-3,0,
ibi,ibi,https://docs.tibco.com/products/ibi,1,,0,,0,
ibi-omni-insurance,ibi Omni-Insurance™,https://docs.tibco.com/products/ibi-omni-insurance,4,,1,https://docs.tibco.com/products/ibi-omni-insurance-4-3-0,3,https://docs.tibco.com/pub/oin/tibco-omni-insurance-4-1-1_documentation.zip | https://docs.tibco.com/pub/oin/tibco-omni-insurance-3-16-1_documentation.zip | https://docs.tibco.com/pub/oin/tibco-omni-insurance-3-16-0_documentation.zip
ibi-data-intelligence,ibi™ Data Intelligence,https://docs.tibco.com/products/ibi-data-intelligence,4,,4,https://docs.tibco.com/products/ibi-data-intelligence-2-0-0 | https://docs.tibco.com/products/ibi-data-intelligence-1-0-0 | https://docs.tibco.com/products/ibi-data-intelligence-1-1-0 | https://docs.tibco.com/products/ibi-data-intelligence-1-2-0,0,
ibi-data-quality,ibi™ Data Quality,https://docs.tibco.com/products/ibi-data-quality,8,,8,https://docs.tibco.com/products/ibi-data-quality-5-2-2 | https://docs.tibco.com/products/tibco-data-quality-3-0-0 | https://docs.tibco.com/products/tibco-data-quality-3-1-0 | https://docs.tibco.com/products/tibco-dq-5-0-0 | https://docs.tibco.com/products/tibco-dq-5-1-0 | https://docs.tibco.com/products/tibco-dq-5-1-1 | https://docs.tibco.com/products/ibi-data-quality-5-2-0 | https://docs.tibco.com/products/ibi-data-quality-5-2-1,0,
ibi-focus,ibi™ FOCUS®,https://docs.tibco.com/products/ibi-focus,25,,0,,0,
ibi-iway-service-manager,ibi™ iWay® Service Manager,https://docs.tibco.com/products/ibi-iway-service-manager,7,,0,,0,
ibi-iway-service-manager-edi-add-on,ibi™ iWay® Service Manager EDI Add-on,https://docs.tibco.com/products/ibi-iway-service-manager-edi-add-on,1,,1,https://docs.tibco.com/products/ibi-iway-service-manager-edi-add-on-9-1-1,0,
ibi-mdm-add-on-for-global-data-synchronization,ibi™ MDM Add-on for Global Data Synchronization,https://docs.tibco.com/products/ibi-mdm-add-on-for-global-data-synchronization,8,,2,https://docs.tibco.com/products/tibco-collaborative-information-manager-add-on-for-global-data-synchronization-1-1-0 | https://docs.tibco.com/products/ibi-mdm-add-on-for-global-data-synchronization-4-0-0,6,https://docs.tibco.com/pub/cim-gdsn/tibco-mdm-add-on-for-global-data-synchronization-3-0-3_documentation.zip | https://docs.tibco.com/pub/cim-gdsn/tibco-mdm-add-on-for-global-data-synchronization-3-0-2_documentation.zip | https://docs.tibco.com/pub/cim-gdsn/tibco-mdm-add-on-for-global-data-synchronization-3-0-1_documentation.zip | https://docs.tibco.com/pub/cim-gdsn/tibco-mdm-add-on-for-global-data-synchronization-3-0-0_documentation.zip | https://docs.tibco.com/pub/mdm-gdsn/tibco-mdm-add-on-for-global-data-synchronization-1-2-1_documentation.zip | https://docs.tibco.com/pub/collaborative_information_manager_addon_for_global_data_synchronization/tibco-collaborative-information-manager-add-on-for-global-data-synchronization-1-2-0_documentation.zip
ibi-omni-gen,ibi™ Omni-Gen®,https://docs.tibco.com/products/ibi-omni-gen,5,,1,https://docs.tibco.com/products/ibi-omni-gen-4-3-0,4,https://docs.tibco.com/pub/og/tibco-omni-gen-4-1-1_documentation.zip | https://docs.tibco.com/pub/og/tibco-omni-gen-4-1-0_documentation.zip | https://docs.tibco.com/pub/og/tibco-omni-gen-3-16-1_documentation.zip | https://docs.tibco.com/pub/og/tibco-omni-gen-3-16-0_documentation.zip
ibi-omni-gen-mdm,ibi™ Omni-Gen® MDM,https://docs.tibco.com/products/ibi-omni-gen-mdm,5,,1,https://docs.tibco.com/products/ibi-omni-gen-mdm-4-3-0,4,https://docs.tibco.com/pub/og-mdm/tibco-omni-gen-mdm-4-1-1_documentation.zip | https://docs.tibco.com/pub/og-mdm/tibco-omni-gen-mdm-4-1-0_documentation.zip | https://docs.tibco.com/pub/og-mdm/tibco-omni-gen-mdm-3-16-1_documentation.zip | https://docs.tibco.com/pub/og-mdm/tibco-omni-gen-mdm-3-16-0_documentation.zip
ibi-omni-healthdata,ibi™ Omni-HealthData®,https://docs.tibco.com/products/ibi-omni-healthdata,4,,1,https://docs.tibco.com/products/ibi-omni-healthdata-4-3-0,3,https://docs.tibco.com/pub/ohd/tibco-omni-healthdata-4-1-1_documentation.zip | https://docs.tibco.com/pub/ohd/tibco-omni-healthdata-3-16-1_documentation.zip | https://docs.tibco.com/pub/ohd/tibco-omni-healthdata-3-16-0_documentation.zip
ibi-omni-healthdata-business-release,ibi™ Omni-HealthData® Business Release,https://docs.tibco.com/products/ibi-omni-healthdata-business-release,10,,3,https://docs.tibco.com/products/ibi-omni-healthdata-business-release-2023-1-0 | https://docs.tibco.com/products/ibi-omni-healthdata-business-release-2023-2-0 | https://docs.tibco.com/products/ibi-omni-healthdata-business-release-2023-3-0,7,https://docs.tibco.com/pub/ohd-br/tibco-omni-healthdata-business-release-2022-4-0_documentation.zip | https://docs.tibco.com/pub/ohd-br/tibco-omni-healthdata-business-release-2022-3-0_documentation.zip | https://docs.tibco.com/pub/ohd-br/tibco-omni-healthdata-business-release-2022-2-0_documentation.zip | https://docs.tibco.com/pub/ohd-br/tibco-omni-healthdata-business-release-2022-1-0_documentation.zip | https://docs.tibco.com/pub/ohd-br/tibco-omni-healthdata-business-release-2021-4-0_documentation.zip | https://docs.tibco.com/pub/ohd-br/tibco-omni-healthdata-business-release-2021-3-0_documentation.zip | https://docs.tibco.com/pub/ohd-br/tibco-omni-healthdata-business-release-2021-2-0_documentation.zip
ibi-open-data-hub-for-mainframe-connectors,ibi™ Open Data Hub for Mainframe Connectors,https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors,14,,14,https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-3-7 | https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-0 | https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-1 | https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-2 | https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-3 | https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-4 | https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-5 | https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-6 | https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-7 | https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-8 | https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-0-9 | https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-3-4 | https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-3-5 | https://docs.tibco.com/products/ibi-open-data-hub-for-mainframe-connectors-1-3-6,0,
ibi-web-query-for-ibm-i,ibi™ Web Query for IBM i,https://docs.tibco.com/products/ibi-web-query-for-ibm-i,14,,14,https://docs.tibco.com/products/ibi-web-query-for-ibm-i-9-2-1 | https://docs.tibco.com/products/tibco-web-query-for-ibm-i-8207-28-09 | https://docs.tibco.com/products/tibco-web-query-for-ibm-i-9-0-1 | https://docs.tibco.com/products/tibco-web-query-for-ibm-i-8207-28-11 | https://docs.tibco.com/products/tibco-web-query-for-ibm-i-9-0-2 | https://docs.tibco.com/products/tibco-web-query-for-ibm-i-8207-28-12 | https://docs.tibco.com/products/tibco-web-query-for-ibm-i-9-0-3 | https://docs.tibco.com/products/tibco-web-query-for-ibm-i-8207-28-13 | https://docs.tibco.com/products/tibco-web-query-for-ibm-i-9-1-0 | https://docs.tibco.com/products/tibco-web-query-for-ibm-i-9-0-4 | https://docs.tibco.com/products/tibco-web-query-for-ibm-i-9-1-1 | https://docs.tibco.com/products/ibi-web-query-for-ibm-i-9-2-0 | https://docs.tibco.com/products/ibi-web-query-for-ibm-i-8207-28-14 | https://docs.tibco.com/products/ibi-web-query-for-ibm-i-9-1-2,0,
ibi-webfocus-container-edition,ibi™ WebFOCUS® - Container Edition,https://docs.tibco.com/products/ibi-webfocus-container-edition,22,,22,https://docs.tibco.com/products/ibi-webfocus-container-edition-9-3-7 | https://docs.tibco.com/products/tibco-webfocus-container-edition-1-0-0 | https://docs.tibco.com/products/tibco-webfocus-container-edition-1-0-2 | https://docs.tibco.com/products/tibco-webfocus-container-edition-1-0-3 | https://docs.tibco.com/products/tibco-webfocus-container-edition-1-1-0 | https://docs.tibco.com/products/tibco-webfocus-container-edition-1-0-4 | https://docs.tibco.com/products/tibco-webfocus-container-edition-1-1-1 | https://docs.tibco.com/products/ibi-webfocus-container-edition-1-2-0 | https://docs.tibco.com/products/ibi-webfocus-container-edition-1-1-2 | https://docs.tibco.com/products/ibi-webfocus-container-edition-1-2-1 | https://docs.tibco.com/products/ibi-webfocus-container-edition-1-0-5 | https://docs.tibco.com/products/ibi-webfocus-container-edition-1-2-2 | https://docs.tibco.com/products/ibi-webfocus-container-edition-1-2-3 | https://docs.tibco.com/products/ibi-webfocus-container-edition-1-3-0 | https://docs.tibco.com/products/ibi-webfocus-container-edition-1-2-4 | https://docs.tibco.com/products/ibi-webfocus-container-edition-1-3-1 | https://docs.tibco.com/products/ibi-webfocus-container-edition-1-2-5 | https://docs.tibco.com/products/ibi-webfocus-container-edition-1-3-2 | https://docs.tibco.com/products/ibi-webfocus-container-edition-1-3-3 | https://docs.tibco.com/products/ibi-webfocus-container-edition-1-3-4 | https://docs.tibco.com/products/ibi-webfocus-container-edition-9-3-5 | https://docs.tibco.com/products/ibi-webfocus-container-edition-9-3-6,0,
ibi-webfocus-app-studio,ibi™ WebFOCUS® App Studio,https://docs.tibco.com/products/ibi-webfocus-app-studio,37,,0,,0,
ibi-webfocus-client,ibi™ WebFOCUS® Client,https://docs.tibco.com/products/ibi-webfocus-client,38,,0,,0,
ibi-webfocus-dsml-services,ibi™ WebFOCUS® DSML Services,https://docs.tibco.com/products/ibi-webfocus-dsml-services,14,,14,https://docs.tibco.com/products/ibi-webfocus-dsml-services-9-3-7 | https://docs.tibco.com/products/tibco-webfocus-dsml-services-8207-28-0 | https://docs.tibco.com/products/tibco-webfocus-dsml-services-9-0-0 | https://docs.tibco.com/products/tibco-webfocus-dsml-services-9-0-1 | https://docs.tibco.com/products/tibco-webfocus-dsml-services-9-0-2 | https://docs.tibco.com/products/tibco-webfocus-dsml-services-9-1-0 | https://docs.tibco.com/products/tibco-webfocus-dsml-services-9-0-4 | https://docs.tibco.com/products/ibi-webfocus-dsml-services-9-2-0 | https://docs.tibco.com/products/ibi-webfocus-dsml-services-9-3-0 | https://docs.tibco.com/products/ibi-webfocus-dsml-services-9-3-2 | https://docs.tibco.com/products/ibi-webfocus-dsml-services-9-3-3 | https://docs.tibco.com/products/ibi-webfocus-dsml-services-9-3-4 | https://docs.tibco.com/products/ibi-webfocus-dsml-services-9-3-5 | https://docs.tibco.com/products/ibi-webfocus-dsml-services-9-3-6,0,
ibi-webfocus-dsml-services-container-edition,ibi™ WebFOCUS® DSML Services - Container Edition,https://docs.tibco.com/products/ibi-webfocus-dsml-services-container-edition,11,,8,https://docs.tibco.com/products/ibi-webfocus-dsml-services-container-edition-1-0-3 | https://docs.tibco.com/products/ibi-webfocus-dsml-services-container-edition-1-0-4 | https://docs.tibco.com/products/ibi-webfocus-dsml-services-container-edition-1-0-5 | https://docs.tibco.com/products/ibi-webfocus-dsml-services-container-edition-1-0-6 | https://docs.tibco.com/products/ibi-webfocus-dsml-services-container-edition-1-0-7 | https://docs.tibco.com/products/ibi-webfocus-dsml-services-container-edition-9-3-5 | https://docs.tibco.com/products/ibi-webfocus-dsml-services-container-edition-9-3-6 | https://docs.tibco.com/products/ibi-webfocus-dsml-services-container-edition-9-3-7,3,https://docs.tibco.com/pub/dsmlce/tibco-webfocus-dsml-services-container-edition-1-0-2_documentation.zip | https://docs.tibco.com/pub/dsmlce/tibco-webfocus-dsml-services-container-edition-1-0-1_documentation.zip | https://docs.tibco.com/pub/dsmlce/tibco-webfocus-dsml-services-container-edition-1-0-0_documentation.zip
ibi-webfocus-installer,ibi™ WebFOCUS® Installer,https://docs.tibco.com/products/ibi-webfocus-installer,36,,0,,0,
ibi-webfocus-reporting-server,ibi™ WebFOCUS® Reporting Server,https://docs.tibco.com/products/ibi-webfocus-reporting-server,38,,0,,0,
premium-subscription-for-tibco-businessworks-container-edition-and-plug-ins-for-aws-marketplace,Premium Subscription for TIBCO BusinessWorks™ Container Edition and Plug-ins for AWS Marketplace,https://docs.tibco.com/products/premium-subscription-for-tibco-businessworks-container-edition-and-plug-ins-for-aws-marketplace,1,,1,https://docs.tibco.com/products/premium-subscription-for-tibco-businessworks-container-edition-and-plug-ins-for-aws-marketplace-2-3-1,0,
spotfire-analytics,Spotfire Analytics,https://docs.tibco.com/products/spotfire-analytics,2,,0,,0,
