phase,product_name,product_slug,category,version,doc_url,is_archived,zip_url,ga_date,topics_converted,csh_ids_count,api_ref_files,pdf_files,help_type,conversion_date,repo_name,resources_repo_name,retired
no-conversion, TIBCO ActiveMatrix® Decisions,tibco-activematrix-decisions,Unassigned,1.3.0,https://docs.tibco.com/products/tibco-activematrix-decisions-1-3-0,FALSE,,,,,,,,,,,TRUE
no-conversion, TIBCO ActiveMatrix® Decisions,tibco-activematrix-decisions,Unassigned,1.2.0,https://docs.tibco.com/products/tibco-activematrix-decisions-1-2-0,TRUE,https://docs.tibco.com/pub/activematrix-decisions-runtime/tibco-activematrix-decisions-1-2-0_documentation.zip,2014-08-27T04:50:23.000Z,,,,,,,,,TRUE
no-conversion, TIBCO ActiveMatrix® Decisions,tibco-activematrix-decisions,Unassigned,1.1.1,https://docs.tibco.com/products/tibco-activematrix-decisions-1-1-1,TRUE,https://docs.tibco.com/pub/activematrix-decisions-runtime/tibco-activematrix-decisions-1-1-1_documentation.zip,2014-05-14T04:59:20.000Z,,,,,,,,,TRUE
no-conversion, TIBCO ActiveMatrix® Decisions,tibco-activematrix-decisions,Unassigned,1.1.0,https://docs.tibco.com/products/tibco-activematrix-decisions-1-1-0,TRUE,https://docs.tibco.com/pub/activematrix-decisions-runtime/tibco-activematrix-decisions-1-1-0_documentation.zip,2013-10-10T07:49:18.000Z,,,,,,,,,TRUE
no-conversion, TIBCO ActiveMatrix® Decisions,tibco-activematrix-decisions,Unassigned,1.0.1,https://docs.tibco.com/products/tibco-activematrix-decisions-1-0-1,TRUE,https://docs.tibco.com/pub/activematrix-decisions-runtime/tibco-activematrix-decisions-1-0-1_documentation.zip,2012-04-30T10:08:07.000Z,,,,,,,,,TRUE
no-conversion, TIBCO ActiveMatrix® Decisions,tibco-activematrix-decisions,Unassigned,1.0.0,https://docs.tibco.com/products/tibco-activematrix-decisions-1-0-0,TRUE,https://docs.tibco.com/pub/activematrix-decisions-runtime/tibco-activematrix-decisions-1-0-0_documentation.zip,2011-11-15T13:31:57.000Z,,,,,,,,,TRUE
, TIBCO® Object Service Broker,tibco-object-service-broker,Unassigned,6.0.0,https://docs.tibco.com/products/tibco-object-service-broker-6-0-0,FALSE,,,,,,,,,,,FALSE
, TIBCO® Object Service Broker,tibco-object-service-broker,Unassigned,5.2.0,https://docs.tibco.com/products/tibco-object-service-broker-5-2-0,FALSE,,,,,,,,,,,FALSE
,Adapter Code for TIBCO® API Exchange and Joomla!,adapter-code-for-tibco-api-exchange-and-joomla,Unassigned,2.3.4,https://docs.tibco.com/products/adapter-code-for-tibco-api-exchange-and-joomla-2-3-4,FALSE,,,,,,,,,,,FALSE
,Adapter Code for TIBCO® API Exchange and Joomla!,adapter-code-for-tibco-api-exchange-and-joomla,Unassigned,2.3.3,https://docs.tibco.com/products/adapter-code-for-tibco-api-exchange-and-joomla-2-3-3,FALSE,,,,,,,,,,,FALSE
,ibi Omni-Insurance™,ibi-omni-insurance,Master Data Management,4.3.0,https://docs.tibco.com/products/ibi-omni-insurance-4-3-0,FALSE,,,,,,,,,,,FALSE
,ibi Omni-Insurance™,ibi-omni-insurance,Master Data Management,4.1.1,https://docs.tibco.com/products/tibco-omni-insurance-4-1-1,TRUE,https://docs.tibco.com/pub/oin/tibco-omni-insurance-4-1-1_documentation.zip,21-Dec,,,,,,,,,FALSE
,ibi Omni-Insurance™,ibi-omni-insurance,Master Data Management,3.16.1,https://docs.tibco.com/products/tibco-omni-insurance-3-16-1,TRUE,https://docs.tibco.com/pub/oin/tibco-omni-insurance-3-16-1_documentation.zip,21-Dec,,,,,,,,,FALSE
,ibi Omni-Insurance™,ibi-omni-insurance,Master Data Management,3.16.0,https://docs.tibco.com/products/tibco-omni-insurance-3-16-0,TRUE,https://docs.tibco.com/pub/oin/tibco-omni-insurance-3-16-0_documentation.zip,21-May,,,,,,,,,FALSE
,ibi™ Data Intelligence,ibi-data-intelligence,Unassigned,2.0.0,https://docs.tibco.com/products/ibi-data-intelligence-2-0-0,FALSE,,,,,,,,,,,FALSE
,ibi™ Data Intelligence,ibi-data-intelligence,Unassigned,1.2.0,https://docs.tibco.com/products/ibi-data-intelligence-1-2-0,FALSE,,,,,,,,,,,FALSE
